5/28/2024 3:33 PM
Wavelength (nm)	10mm Absorbance
340.5	0.001
341.0	-0.002
341.5	-0.003
342.0	-0.004
342.5	-0.005
343.0	-0.004
343.5	-0.004
344.0	-0.005
344.5	-0.006
345.0	-0.007
345.5	-0.007
346.0	-0.006
346.5	-0.005
347.0	-0.006
347.5	-0.006
348.0	-0.006
348.5	-0.005
349.0	-0.004
349.5	-0.004
350.0	-0.004



5/28/2024 3:36 PM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.20667	
//WLCalib: 261S 	0.00000	
//WLCalib: 362S 	-0.20000	
//WLCalib: 484S 	0.08000	
//WLCalib: 529S 	0.39000	
//WLCalib: 823S 	-0.42000	
//QSpecEnd: 
220.0	6.814
220.5	6.646
221.0	6.483
221.5	6.318
222.0	6.145
222.5	5.973
223.0	5.795
223.5	5.603
224.0	5.403
224.5	5.198
225.0	5.003
225.5	4.832
226.0	4.690
226.5	4.564
227.0	4.450
227.5	4.344
228.0	4.246
228.5	4.154
229.0	4.068
229.5	3.980
230.0	3.891
230.5	3.800
231.0	3.708
231.5	3.613
232.0	3.508
232.5	3.394
233.0	3.273
233.5	3.149
234.0	3.024
234.5	2.897
235.0	2.773
235.5	2.656
236.0	2.549
236.5	2.453
237.0	2.367
237.5	2.293
238.0	2.223
238.5	2.167
239.0	2.123
239.5	2.090
240.0	2.063
240.5	2.045
241.0	2.030
241.5	2.020
242.0	2.017
242.5	2.020
243.0	2.027
243.5	2.043
244.0	2.062
244.5	2.082
245.0	2.100
245.5	2.117
246.0	2.134
246.5	2.150
247.0	2.166
247.5	2.185
248.0	2.205
248.5	2.227
249.0	2.248
249.5	2.271
250.0	2.292
250.5	2.315
251.0	2.337
251.5	2.358
252.0	2.382
252.5	2.409
253.0	2.438
253.5	2.471
254.0	2.504
254.5	2.536
255.0	2.568
255.5	2.602
256.0	2.636
256.5	2.675
257.0	2.709
257.5	2.741
258.0	2.768
258.5	2.793
259.0	2.812
259.5	2.829
260.0	2.843
260.5	2.856
261.0	2.867
261.5	2.877
262.0	2.888
262.5	2.898
263.0	2.904
263.5	2.910
264.0	2.913
264.5	2.917
265.0	2.917
265.5	2.911
266.0	2.904
266.5	2.896
267.0	2.886
267.5	2.874
268.0	2.857
268.5	2.836
269.0	2.814
269.5	2.791
270.0	2.768
270.5	2.744
271.0	2.719
271.5	2.695
272.0	2.666
272.5	2.636
273.0	2.606
273.5	2.574
274.0	2.541
274.5	2.505
275.0	2.469
275.5	2.427
276.0	2.383
276.5	2.337
277.0	2.290
277.5	2.241
278.0	2.191
278.5	2.139
279.0	2.087
279.5	2.034
280.0	1.983
280.5	1.931
281.0	1.880
281.5	1.823
282.0	1.768
282.5	1.712
283.0	1.657
283.5	1.602
284.0	1.550
284.5	1.497
285.0	1.446
285.5	1.394
286.0	1.342
286.5	1.287
287.0	1.229
287.5	1.173
288.0	1.120
288.5	1.069
289.0	1.019
289.5	0.970
290.0	0.922
290.5	0.872
291.0	0.820
291.5	0.769
292.0	0.722
292.5	0.677
293.0	0.635
293.5	0.596
294.0	0.557
294.5	0.520
295.0	0.483
295.5	0.450
296.0	0.418
296.5	0.391
297.0	0.367
297.5	0.344
298.0	0.322
298.5	0.302
299.0	0.283
299.5	0.264
300.0	0.247
300.5	0.229
301.0	0.212
301.5	0.195
302.0	0.180
302.5	0.167
303.0	0.153
303.5	0.141
304.0	0.131
304.5	0.121
305.0	0.111
305.5	0.102
306.0	0.096
306.5	0.088
307.0	0.082
307.5	0.076
308.0	0.074
308.5	0.071
309.0	0.068
309.5	0.066
310.0	0.062
310.5	0.059
311.0	0.058
311.5	0.057
312.0	0.057
312.5	0.057
313.0	0.056
313.5	0.054
314.0	0.052
314.5	0.051
315.0	0.050
315.5	0.049
316.0	0.047
316.5	0.046
317.0	0.043
317.5	0.041
318.0	0.040
318.5	0.038
319.0	0.034
319.5	0.032
320.0	0.029
320.5	0.028
321.0	0.026
321.5	0.027
322.0	0.025
322.5	0.024
323.0	0.021
323.5	0.019
324.0	0.018
324.5	0.018
325.0	0.017
325.5	0.015
326.0	0.015
326.5	0.016
327.0	0.016
327.5	0.015
328.0	0.014
328.5	0.014
329.0	0.012
329.5	0.011
330.0	0.011
330.5	0.013
331.0	0.014
331.5	0.014
332.0	0.013
332.5	0.014
333.0	0.012
333.5	0.011
334.0	0.011
334.5	0.011
335.0	0.013
335.5	0.013
336.0	0.012
336.5	0.012
337.0	0.010
337.5	0.010
338.0	0.008
338.5	0.005
339.0	0.003
339.5	0.001
340.0	0.000
340.5	0.001
341.0	-0.001
341.5	-0.002
342.0	-0.004
342.5	-0.006
343.0	-0.006
343.5	-0.006
344.0	-0.007
344.5	-0.007
345.0	-0.009
345.5	-0.010
346.0	-0.008
346.5	-0.007
347.0	-0.007
347.5	-0.005
348.0	-0.006
348.5	-0.005
349.0	-0.004
349.5	-0.004
350.0	-0.004



5/28/2024 3:38 PM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.20667	
//WLCalib: 261S 	0.00000	
//WLCalib: 362S 	-0.20000	
//WLCalib: 484S 	0.08000	
//WLCalib: 529S 	0.39000	
//WLCalib: 823S 	-0.42000	
//QSpecEnd: 
220.0	-0.017
220.5	-0.017
221.0	-0.017
221.5	-0.016
222.0	-0.015
222.5	-0.016
223.0	-0.016
223.5	-0.014
224.0	-0.011
224.5	-0.008
225.0	-0.004
225.5	0.001
226.0	0.001
226.5	0.002
227.0	0.002
227.5	0.001
228.0	0.000
228.5	0.000
229.0	0.001
229.5	0.000
230.0	0.001
230.5	0.002
231.0	0.003
231.5	0.003
232.0	0.001
232.5	0.001
233.0	-0.002
233.5	-0.002
234.0	-0.003
234.5	-0.004
235.0	-0.004
235.5	-0.002
236.0	-0.001
236.5	-0.002
237.0	-0.002
237.5	-0.001
238.0	-0.001
238.5	0.001
239.0	0.002
239.5	0.005
240.0	0.005
240.5	0.006
241.0	0.005
241.5	0.005
242.0	0.005
242.5	0.005
243.0	0.006
243.5	0.006
244.0	0.007
244.5	0.008
245.0	0.008
245.5	0.009
246.0	0.008
246.5	0.008
247.0	0.007
247.5	0.006
248.0	0.006
248.5	0.007
249.0	0.008
249.5	0.009
250.0	0.008
250.5	0.007
251.0	0.005
251.5	0.004
252.0	0.003
252.5	0.002
253.0	-0.001
253.5	-0.003
254.0	-0.003
254.5	-0.005
255.0	-0.006
255.5	-0.004
256.0	-0.006
256.5	-0.006
257.0	-0.007
257.5	-0.005
258.0	-0.004
258.5	-0.002
259.0	-0.001
259.5	0.000
260.0	-0.001
260.5	0.000
261.0	0.000
261.5	0.001
262.0	0.001
262.5	0.004
263.0	0.001
263.5	0.002
264.0	-0.001
264.5	0.000
265.0	0.000
265.5	-0.002
266.0	-0.004
266.5	-0.004
267.0	-0.004
267.5	-0.002
268.0	0.000
268.5	-0.001
269.0	-0.001
269.5	0.000
270.0	-0.001
270.5	0.000
271.0	0.000
271.5	0.000
272.0	-0.001
272.5	-0.002
273.0	-0.001
273.5	-0.001
274.0	0.000
274.5	0.000
275.0	0.000
275.5	-0.002
276.0	-0.001
276.5	-0.001
277.0	0.000
277.5	0.000
278.0	0.001
278.5	0.001
279.0	0.003
279.5	0.004
280.0	0.004
280.5	0.004
281.0	0.005
281.5	0.004
282.0	0.005
282.5	0.004
283.0	0.005
283.5	0.005
284.0	0.006
284.5	0.006
285.0	0.005
285.5	0.004
286.0	0.004
286.5	0.003
287.0	0.003
287.5	0.004
288.0	0.005
288.5	0.006
289.0	0.006
289.5	0.005
290.0	0.005
290.5	0.007
291.0	0.006
291.5	0.007
292.0	0.007
292.5	0.007
293.0	0.007
293.5	0.008
294.0	0.009
294.5	0.007
295.0	0.006
295.5	0.005
296.0	0.004
296.5	0.004
297.0	0.004
297.5	0.005
298.0	0.004
298.5	0.004
299.0	0.003
299.5	0.002
300.0	0.001
300.5	-0.001
301.0	-0.003
301.5	-0.005
302.0	-0.005
302.5	-0.004
303.0	-0.005
303.5	-0.005
304.0	-0.006
304.5	-0.006
305.0	-0.009
305.5	-0.008
306.0	-0.009
306.5	-0.009
307.0	-0.010
307.5	-0.010
308.0	-0.007
308.5	-0.007
309.0	-0.006
309.5	-0.005
310.0	-0.006
310.5	-0.004
311.0	-0.003
311.5	-0.001
312.0	-0.001
312.5	-0.001
313.0	-0.001
313.5	-0.002
314.0	-0.001
314.5	-0.001
315.0	0.000
315.5	0.000
316.0	0.000
316.5	0.000
317.0	0.000
317.5	0.000
318.0	-0.001
318.5	-0.003
319.0	-0.005
319.5	-0.007
320.0	-0.006
320.5	-0.006
321.0	-0.005
321.5	-0.004
322.0	-0.005
322.5	-0.005
323.0	-0.007
323.5	-0.008
324.0	-0.009
324.5	-0.010
325.0	-0.009
325.5	-0.009
326.0	-0.007
326.5	-0.005
327.0	-0.005
327.5	-0.006
328.0	-0.006
328.5	-0.007
329.0	-0.007
329.5	-0.008
330.0	-0.007
330.5	-0.004
331.0	-0.003
331.5	-0.002
332.0	0.000
332.5	0.001
333.0	0.000
333.5	-0.001
334.0	0.000
334.5	0.002
335.0	0.006
335.5	0.007
336.0	0.007
336.5	0.007
337.0	0.007
337.5	0.007
338.0	0.005
338.5	0.003
339.0	0.003
339.5	0.001
340.0	0.000
340.5	0.001
341.0	0.001
341.5	0.000
342.0	0.000
342.5	-0.001
343.0	-0.001
343.5	-0.003
344.0	-0.003
344.5	-0.002
345.0	-0.003
345.5	-0.002
346.0	-0.001
346.5	-0.001
347.0	-0.001
347.5	0.003
348.0	0.003
348.5	0.004
349.0	0.005
349.5	0.005
350.0	0.006



5/28/2024 3:39 PM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.20667	
//WLCalib: 261S 	0.00000	
//WLCalib: 362S 	-0.20000	
//WLCalib: 484S 	0.08000	
//WLCalib: 529S 	0.39000	
//WLCalib: 823S 	-0.42000	
//QSpecEnd: 
220.0	0.098
220.5	0.092
221.0	0.091
221.5	0.090
222.0	0.085
222.5	0.082
223.0	0.078
223.5	0.075
224.0	0.071
224.5	0.068
225.0	0.067
225.5	0.065
226.0	0.063
226.5	0.063
227.0	0.063
227.5	0.063
228.0	0.062
228.5	0.060
229.0	0.060
229.5	0.061
230.0	0.060
230.5	0.061
231.0	0.061
231.5	0.061
232.0	0.061
232.5	0.061
233.0	0.060
233.5	0.062
234.0	0.062
234.5	0.061
235.0	0.061
235.5	0.063
236.0	0.066
236.5	0.067
237.0	0.067
237.5	0.068
238.0	0.071
238.5	0.075
239.0	0.079
239.5	0.083
240.0	0.084
240.5	0.088
241.0	0.089
241.5	0.090
242.0	0.092
242.5	0.095
243.0	0.096
243.5	0.099
244.0	0.102
244.5	0.106
245.0	0.109
245.5	0.111
246.0	0.113
246.5	0.115
247.0	0.116
247.5	0.118
248.0	0.119
248.5	0.121
249.0	0.123
249.5	0.126
250.0	0.127
250.5	0.129
251.0	0.130
251.5	0.132
252.0	0.132
252.5	0.132
253.0	0.132
253.5	0.133
254.0	0.133
254.5	0.132
255.0	0.133
255.5	0.135
256.0	0.135
256.5	0.137
257.0	0.137
257.5	0.138
258.0	0.139
258.5	0.139
259.0	0.138
259.5	0.138
260.0	0.137
260.5	0.138
261.0	0.138
261.5	0.138
262.0	0.138
262.5	0.139
263.0	0.137
263.5	0.136
264.0	0.132
264.5	0.131
265.0	0.130
265.5	0.127
266.0	0.124
266.5	0.124
267.0	0.122
267.5	0.122
268.0	0.121
268.5	0.119
269.0	0.117
269.5	0.115
270.0	0.113
270.5	0.112
271.0	0.111
271.5	0.110
272.0	0.107
272.5	0.105
273.0	0.102
273.5	0.101
274.0	0.100
274.5	0.098
275.0	0.096
275.5	0.093
276.0	0.092
276.5	0.089
277.0	0.087
277.5	0.085
278.0	0.082
278.5	0.080
279.0	0.078
279.5	0.077
280.0	0.074
280.5	0.073
281.0	0.071
281.5	0.068
282.0	0.066
282.5	0.064
283.0	0.062
283.5	0.058
284.0	0.056
284.5	0.055
285.0	0.052
285.5	0.050
286.0	0.048
286.5	0.044
287.0	0.041
287.5	0.038
288.0	0.035
288.5	0.034
289.0	0.031
289.5	0.027
290.0	0.024
290.5	0.021
291.0	0.018
291.5	0.017
292.0	0.014
292.5	0.012
293.0	0.009
293.5	0.007
294.0	0.007
294.5	0.005
295.0	0.002
295.5	0.000
296.0	-0.003
296.5	-0.004
297.0	-0.005
297.5	-0.005
298.0	-0.005
298.5	-0.005
299.0	-0.006
299.5	-0.008
300.0	-0.008
300.5	-0.010
301.0	-0.012
301.5	-0.014
302.0	-0.015
302.5	-0.014
303.0	-0.015
303.5	-0.015
304.0	-0.016
304.5	-0.016
305.0	-0.018
305.5	-0.017
306.0	-0.017
306.5	-0.017
307.0	-0.017
307.5	-0.018
308.0	-0.015
308.5	-0.014
309.0	-0.013
309.5	-0.011
310.0	-0.011
310.5	-0.010
311.0	-0.009
311.5	-0.008
312.0	-0.007
312.5	-0.006
313.0	-0.007
313.5	-0.008
314.0	-0.008
314.5	-0.008
315.0	-0.007
315.5	-0.009
316.0	-0.009
316.5	-0.009
317.0	-0.010
317.5	-0.011
318.0	-0.011
318.5	-0.012
319.0	-0.013
319.5	-0.013
320.0	-0.013
320.5	-0.012
321.0	-0.013
321.5	-0.012
322.0	-0.012
322.5	-0.012
323.0	-0.013
323.5	-0.014
324.0	-0.014
324.5	-0.013
325.0	-0.012
325.5	-0.013
326.0	-0.012
326.5	-0.012
327.0	-0.011
327.5	-0.010
328.0	-0.011
328.5	-0.010
329.0	-0.011
329.5	-0.012
330.0	-0.011
330.5	-0.010
331.0	-0.008
331.5	-0.007
332.0	-0.006
332.5	-0.007
333.0	-0.007
333.5	-0.007
334.0	-0.006
334.5	-0.005
335.0	-0.003
335.5	-0.003
336.0	-0.001
336.5	0.000
337.0	0.001
337.5	0.002
338.0	0.002
338.5	0.001
339.0	0.000
339.5	-0.001
340.0	0.000
340.5	0.001
341.0	-0.001
341.5	-0.002
342.0	-0.004
342.5	-0.003
343.0	-0.002
343.5	-0.004
344.0	-0.004
344.5	-0.006
345.0	-0.006
345.5	-0.006
346.0	-0.006
346.5	-0.006
347.0	-0.006
347.5	-0.005
348.0	-0.004
348.5	-0.003
349.0	-0.001
349.5	0.002
350.0	0.001



5/28/2024 3:40 PM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.20667	
//WLCalib: 261S 	0.00000	
//WLCalib: 362S 	-0.20000	
//WLCalib: 484S 	0.08000	
//WLCalib: 529S 	0.39000	
//WLCalib: 823S 	-0.42000	
//QSpecEnd: 
220.0	2.352
220.5	2.299
221.0	2.249
221.5	2.196
222.0	2.141
222.5	2.082
223.0	2.026
223.5	1.964
224.0	1.898
224.5	1.831
225.0	1.767
225.5	1.713
226.0	1.666
226.5	1.628
227.0	1.593
227.5	1.561
228.0	1.533
228.5	1.505
229.0	1.481
229.5	1.457
230.0	1.432
230.5	1.409
231.0	1.386
231.5	1.362
232.0	1.338
232.5	1.314
233.0	1.286
233.5	1.260
234.0	1.234
234.5	1.208
235.0	1.185
235.5	1.167
236.0	1.153
236.5	1.141
237.0	1.135
237.5	1.136
238.0	1.139
238.5	1.147
239.0	1.162
239.5	1.178
240.0	1.190
240.5	1.207
241.0	1.220
241.5	1.234
242.0	1.249
242.5	1.268
243.0	1.290
243.5	1.317
244.0	1.345
244.5	1.372
245.0	1.397
245.5	1.419
246.0	1.441
246.5	1.461
247.0	1.480
247.5	1.500
248.0	1.519
248.5	1.540
249.0	1.560
249.5	1.580
250.0	1.598
250.5	1.618
251.0	1.637
251.5	1.657
252.0	1.678
252.5	1.699
253.0	1.722
253.5	1.746
254.0	1.771
254.5	1.797
255.0	1.821
255.5	1.847
256.0	1.875
256.5	1.904
257.0	1.932
257.5	1.957
258.0	1.977
258.5	1.994
259.0	2.008
259.5	2.020
260.0	2.031
260.5	2.042
261.0	2.052
261.5	2.059
262.0	2.065
262.5	2.072
263.0	2.074
263.5	2.077
264.0	2.076
264.5	2.078
265.0	2.078
265.5	2.073
266.0	2.066
266.5	2.058
267.0	2.048
267.5	2.035
268.0	2.018
268.5	1.996
269.0	1.976
269.5	1.954
270.0	1.933
270.5	1.912
271.0	1.889
271.5	1.867
272.0	1.842
272.5	1.813
273.0	1.786
273.5	1.757
274.0	1.727
274.5	1.696
275.0	1.664
275.5	1.627
276.0	1.591
276.5	1.551
277.0	1.513
277.5	1.472
278.0	1.430
278.5	1.387
279.0	1.342
279.5	1.300
280.0	1.258
280.5	1.216
281.0	1.175
281.5	1.130
282.0	1.087
282.5	1.043
283.0	1.000
283.5	0.958
284.0	0.918
284.5	0.879
285.0	0.842
285.5	0.807
286.0	0.770
286.5	0.733
287.0	0.693
287.5	0.655
288.0	0.618
288.5	0.583
289.0	0.551
289.5	0.519
290.0	0.489
290.5	0.458
291.0	0.425
291.5	0.393
292.0	0.363
292.5	0.337
293.0	0.312
293.5	0.288
294.0	0.266
294.5	0.243
295.0	0.222
295.5	0.204
296.0	0.186
296.5	0.171
297.0	0.158
297.5	0.146
298.0	0.135
298.5	0.125
299.0	0.116
299.5	0.105
300.0	0.096
300.5	0.087
301.0	0.077
301.5	0.068
302.0	0.060
302.5	0.055
303.0	0.047
303.5	0.042
304.0	0.036
304.5	0.033
305.0	0.027
305.5	0.024
306.0	0.022
306.5	0.018
307.0	0.015
307.5	0.013
308.0	0.012
308.5	0.011
309.0	0.010
309.5	0.010
310.0	0.007
310.5	0.007
311.0	0.005
311.5	0.006
312.0	0.004
312.5	0.003
313.0	0.002
313.5	0.000
314.0	-0.001
314.5	-0.002
315.0	-0.003
315.5	-0.002
316.0	-0.001
316.5	-0.001
317.0	-0.003
317.5	-0.003
318.0	-0.002
318.5	-0.002
319.0	-0.003
319.5	-0.003
320.0	-0.003
320.5	-0.004
321.0	-0.004
321.5	-0.002
322.0	-0.003
322.5	-0.003
323.0	-0.004
323.5	-0.007
324.0	-0.009
324.5	-0.009
325.0	-0.007
325.5	-0.008
326.0	-0.008
326.5	-0.008
327.0	-0.008
327.5	-0.007
328.0	-0.007
328.5	-0.006
329.0	-0.008
329.5	-0.007
330.0	-0.005
330.5	-0.003
331.0	0.000
331.5	0.002
332.0	0.004
332.5	0.004
333.0	0.003
333.5	0.004
334.0	0.005
334.5	0.006
335.0	0.007
335.5	0.006
336.0	0.006
336.5	0.006
337.0	0.005
337.5	0.005
338.0	0.004
338.5	0.002
339.0	0.001
339.5	0.000
340.0	0.000
340.5	0.001
341.0	0.000
341.5	-0.001
342.0	-0.002
342.5	-0.001
343.0	-0.001
343.5	-0.001
344.0	-0.001
344.5	0.000
345.0	-0.001
345.5	0.000
346.0	0.002
346.5	0.003
347.0	0.003
347.5	0.004
348.0	0.004
348.5	0.004
349.0	0.006
349.5	0.009
350.0	0.007



5/28/2024 3:41 PM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.20667	
//WLCalib: 261S 	0.00000	
//WLCalib: 362S 	-0.20000	
//WLCalib: 484S 	0.08000	
//WLCalib: 529S 	0.39000	
//WLCalib: 823S 	-0.42000	
//QSpecEnd: 
220.0	0.680
220.5	0.660
221.0	0.642
221.5	0.623
222.0	0.605
222.5	0.589
223.0	0.575
223.5	0.564
224.0	0.555
224.5	0.548
225.0	0.543
225.5	0.540
226.0	0.537
226.5	0.536
227.0	0.536
227.5	0.534
228.0	0.533
228.5	0.533
229.0	0.533
229.5	0.533
230.0	0.533
230.5	0.535
231.0	0.537
231.5	0.539
232.0	0.541
232.5	0.544
233.0	0.547
233.5	0.551
234.0	0.557
234.5	0.563
235.0	0.573
235.5	0.584
236.0	0.597
236.5	0.610
237.0	0.627
237.5	0.648
238.0	0.668
238.5	0.693
239.0	0.722
239.5	0.748
240.0	0.770
240.5	0.792
241.0	0.810
241.5	0.828
242.0	0.847
242.5	0.866
243.0	0.888
243.5	0.913
244.0	0.940
244.5	0.964
245.0	0.984
245.5	1.004
246.0	1.021
246.5	1.037
247.0	1.052
247.5	1.067
248.0	1.081
248.5	1.096
249.0	1.110
249.5	1.124
250.0	1.135
250.5	1.148
251.0	1.158
251.5	1.167
252.0	1.175
252.5	1.185
253.0	1.195
253.5	1.204
254.0	1.214
254.5	1.222
255.0	1.232
255.5	1.241
256.0	1.248
256.5	1.256
257.0	1.260
257.5	1.265
258.0	1.267
258.5	1.268
259.0	1.267
259.5	1.266
260.0	1.263
260.5	1.260
261.0	1.258
261.5	1.253
262.0	1.249
262.5	1.244
263.0	1.236
263.5	1.227
264.0	1.213
264.5	1.201
265.0	1.188
265.5	1.175
266.0	1.163
266.5	1.151
267.0	1.139
267.5	1.127
268.0	1.113
268.5	1.097
269.0	1.082
269.5	1.069
270.0	1.056
270.5	1.042
271.0	1.028
271.5	1.016
272.0	1.002
272.5	0.987
273.0	0.973
273.5	0.957
274.0	0.941
274.5	0.926
275.0	0.909
275.5	0.890
276.0	0.872
276.5	0.851
277.0	0.831
277.5	0.809
278.0	0.788
278.5	0.767
279.0	0.745
279.5	0.725
280.0	0.702
280.5	0.680
281.0	0.660
281.5	0.637
282.0	0.615
282.5	0.592
283.0	0.571
283.5	0.549
284.0	0.530
284.5	0.510
285.0	0.489
285.5	0.470
286.0	0.448
286.5	0.426
287.0	0.402
287.5	0.379
288.0	0.356
288.5	0.337
289.0	0.316
289.5	0.296
290.0	0.277
290.5	0.257
291.0	0.236
291.5	0.216
292.0	0.198
292.5	0.182
293.0	0.166
293.5	0.152
294.0	0.139
294.5	0.126
295.0	0.114
295.5	0.103
296.0	0.091
296.5	0.083
297.0	0.075
297.5	0.069
298.0	0.061
298.5	0.055
299.0	0.049
299.5	0.042
300.0	0.036
300.5	0.030
301.0	0.025
301.5	0.019
302.0	0.013
302.5	0.010
303.0	0.005
303.5	0.004
304.0	0.000
304.5	-0.002
305.0	-0.006
305.5	-0.007
306.0	-0.007
306.5	-0.008
307.0	-0.009
307.5	-0.009
308.0	-0.008
308.5	-0.007
309.0	-0.006
309.5	-0.005
310.0	-0.006
310.5	-0.006
311.0	-0.005
311.5	-0.004
312.0	-0.003
312.5	-0.003
313.0	-0.003
313.5	-0.005
314.0	-0.006
314.5	-0.006
315.0	-0.007
315.5	-0.007
316.0	-0.008
316.5	-0.007
317.0	-0.009
317.5	-0.009
318.0	-0.010
318.5	-0.011
319.0	-0.012
319.5	-0.014
320.0	-0.013
320.5	-0.012
321.0	-0.012
321.5	-0.009
322.0	-0.009
322.5	-0.009
323.0	-0.011
323.5	-0.012
324.0	-0.014
324.5	-0.012
325.0	-0.012
325.5	-0.013
326.0	-0.012
326.5	-0.012
327.0	-0.011
327.5	-0.009
328.0	-0.010
328.5	-0.010
329.0	-0.011
329.5	-0.011
330.0	-0.010
330.5	-0.008
331.0	-0.006
331.5	-0.004
332.0	-0.004
332.5	-0.004
333.0	-0.004
333.5	-0.003
334.0	-0.002
334.5	-0.003
335.0	-0.001
335.5	-0.001
336.0	0.000
336.5	0.000
337.0	-0.001
337.5	0.000
338.0	-0.001
338.5	-0.001
339.0	-0.002
339.5	-0.001
340.0	0.000
340.5	0.001
341.0	0.001
341.5	0.000
342.0	0.000
342.5	0.000
343.0	0.002
343.5	0.001
344.0	0.002
344.5	0.003
345.0	0.002
345.5	0.003
346.0	0.004
346.5	0.004
347.0	0.003
347.5	0.004
348.0	0.004
348.5	0.004
349.0	0.004
349.5	0.006
350.0	0.004



5/28/2024 3:42 PM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.20667	
//WLCalib: 261S 	0.00000	
//WLCalib: 362S 	-0.20000	
//WLCalib: 484S 	0.08000	
//WLCalib: 529S 	0.39000	
