5/28/2024 12:45 PM
Wavelength (nm)	10mm Absorbance
337.5	0.001
338.0	0.001
338.5	0.001
339.0	0.001
339.5	-0.001
340.0	0.000
340.5	0.000
341.0	0.000
341.5	0.000
342.0	0.000
342.5	-0.001
343.0	-0.001
343.5	-0.001
344.0	-0.002
344.5	-0.003
345.0	-0.003
345.5	-0.003
346.0	-0.004
346.5	-0.005
347.0	-0.003
347.5	-0.003
348.0	-0.004
348.5	-0.004
349.0	-0.004
349.5	-0.004
350.0	-0.004



5/28/2024 12:47 PM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.20667	
//WLCalib: 261S 	0.00000	
//WLCalib: 362S 	-0.20000	
//WLCalib: 484S 	0.08000	
//WLCalib: 529S 	0.39000	
//WLCalib: 823S 	-0.42000	
//QSpecEnd: 
220.0	0.457
220.5	0.452
221.0	0.445
221.5	0.435
222.0	0.423
222.5	0.415
223.0	0.404
223.5	0.396
224.0	0.387
224.5	0.379
225.0	0.372
225.5	0.369
226.0	0.367
226.5	0.363
227.0	0.361
227.5	0.359
228.0	0.355
228.5	0.350
229.0	0.347
229.5	0.343
230.0	0.339
230.5	0.336
231.0	0.333
231.5	0.330
232.0	0.326
232.5	0.321
233.0	0.314
233.5	0.307
234.0	0.302
234.5	0.295
235.0	0.287
235.5	0.282
236.0	0.279
236.5	0.276
237.0	0.272
237.5	0.271
238.0	0.269
238.5	0.270
239.0	0.271
239.5	0.271
240.0	0.274
240.5	0.274
241.0	0.272
241.5	0.271
242.0	0.272
242.5	0.273
243.0	0.277
243.5	0.280
244.0	0.284
244.5	0.289
245.0	0.292
245.5	0.294
246.0	0.296
246.5	0.298
247.0	0.299
247.5	0.300
248.0	0.302
248.5	0.304
249.0	0.307
249.5	0.308
250.0	0.310
250.5	0.311
251.0	0.311
251.5	0.311
252.0	0.310
252.5	0.310
253.0	0.310
253.5	0.310
254.0	0.312
254.5	0.313
255.0	0.315
255.5	0.320
256.0	0.325
256.5	0.331
257.0	0.337
257.5	0.341
258.0	0.342
258.5	0.345
259.0	0.348
259.5	0.350
260.0	0.350
260.5	0.352
261.0	0.354
261.5	0.355
262.0	0.356
262.5	0.359
263.0	0.359
263.5	0.358
264.0	0.356
264.5	0.355
265.0	0.354
265.5	0.354
266.0	0.353
266.5	0.352
267.0	0.350
267.5	0.351
268.0	0.349
268.5	0.349
269.0	0.348
269.5	0.347
270.0	0.345
270.5	0.344
271.0	0.345
271.5	0.343
272.0	0.342
272.5	0.342
273.0	0.340
273.5	0.339
274.0	0.338
274.5	0.337
275.0	0.336
275.5	0.334
276.0	0.331
276.5	0.331
277.0	0.328
277.5	0.327
278.0	0.325
278.5	0.321
279.0	0.318
279.5	0.318
280.0	0.314
280.5	0.313
281.0	0.310
281.5	0.306
282.0	0.302
282.5	0.297
283.0	0.293
283.5	0.291
284.0	0.286
284.5	0.281
285.0	0.276
285.5	0.273
286.0	0.269
286.5	0.264
287.0	0.257
287.5	0.251
288.0	0.244
288.5	0.239
289.0	0.234
289.5	0.229
290.0	0.224
290.5	0.220
291.0	0.212
291.5	0.206
292.0	0.200
292.5	0.193
293.0	0.189
293.5	0.184
294.0	0.179
294.5	0.174
295.0	0.169
295.5	0.165
296.0	0.159
296.5	0.155
297.0	0.150
297.5	0.146
298.0	0.142
298.5	0.139
299.0	0.135
299.5	0.132
300.0	0.129
300.5	0.123
301.0	0.118
301.5	0.114
302.0	0.111
302.5	0.106
303.0	0.102
303.5	0.099
304.0	0.096
304.5	0.093
305.0	0.092
305.5	0.088
306.0	0.086
306.5	0.083
307.0	0.079
307.5	0.077
308.0	0.078
308.5	0.076
309.0	0.074
309.5	0.072
310.0	0.071
310.5	0.069
311.0	0.068
311.5	0.066
312.0	0.065
312.5	0.061
313.0	0.061
313.5	0.059
314.0	0.057
314.5	0.056
315.0	0.053
315.5	0.051
316.0	0.049
316.5	0.048
317.0	0.045
317.5	0.043
318.0	0.043
318.5	0.041
319.0	0.040
319.5	0.038
320.0	0.039
320.5	0.035
321.0	0.033
321.5	0.032
322.0	0.030
322.5	0.029
323.0	0.028
323.5	0.029
324.0	0.026
324.5	0.026
325.0	0.023
325.5	0.022
326.0	0.021
326.5	0.020
327.0	0.019
327.5	0.017
328.0	0.015
328.5	0.013
329.0	0.013
329.5	0.013
330.0	0.012
330.5	0.011
331.0	0.007
331.5	0.008
332.0	0.006
332.5	0.005
333.0	0.007
333.5	0.006
334.0	0.004
334.5	0.004
335.0	0.006
335.5	0.007
336.0	0.008
336.5	0.007
337.0	0.006
337.5	0.006
338.0	0.003
338.5	0.002
339.0	0.001
339.5	0.000
340.0	0.000
340.5	-0.001
341.0	-0.003
341.5	-0.004
342.0	-0.005
342.5	-0.006
343.0	-0.008
343.5	-0.009
344.0	-0.011
344.5	-0.014
345.0	-0.016
345.5	-0.015
346.0	-0.016
346.5	-0.016
347.0	-0.016
347.5	-0.016
348.0	-0.018
348.5	-0.017
349.0	-0.017
349.5	-0.015
350.0	-0.017



5/28/2024 12:48 PM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.20667	
//WLCalib: 261S 	0.00000	
//WLCalib: 362S 	-0.20000	
//WLCalib: 484S 	0.08000	
//WLCalib: 529S 	0.39000	
//WLCalib: 823S 	-0.42000	
//QSpecEnd: 
220.0	0.771
220.5	0.751
221.0	0.732
221.5	0.712
222.0	0.687
222.5	0.669
223.0	0.647
223.5	0.629
224.0	0.609
224.5	0.592
225.0	0.577
225.5	0.565
226.0	0.555
226.5	0.547
227.0	0.541
227.5	0.535
228.0	0.529
228.5	0.522
229.0	0.516
229.5	0.512
230.0	0.506
230.5	0.502
231.0	0.495
231.5	0.491
232.0	0.485
232.5	0.479
233.0	0.471
233.5	0.463
234.0	0.456
234.5	0.448
235.0	0.440
235.5	0.434
236.0	0.429
236.5	0.425
237.0	0.420
237.5	0.419
238.0	0.416
238.5	0.419
239.0	0.421
239.5	0.424
240.0	0.426
240.5	0.428
241.0	0.430
241.5	0.431
242.0	0.433
242.5	0.436
243.0	0.441
243.5	0.448
244.0	0.454
244.5	0.461
245.0	0.466
245.5	0.472
246.0	0.475
246.5	0.478
247.0	0.481
247.5	0.484
248.0	0.488
248.5	0.491
249.0	0.495
249.5	0.499
250.0	0.502
250.5	0.505
251.0	0.506
251.5	0.508
252.0	0.508
252.5	0.509
253.0	0.512
253.5	0.515
254.0	0.520
254.5	0.523
255.0	0.526
255.5	0.531
256.0	0.537
256.5	0.543
257.0	0.550
257.5	0.556
258.0	0.557
258.5	0.559
259.0	0.561
259.5	0.563
260.0	0.564
260.5	0.566
261.0	0.567
261.5	0.567
262.0	0.568
262.5	0.569
263.0	0.567
263.5	0.565
264.0	0.562
264.5	0.557
265.0	0.551
265.5	0.548
266.0	0.547
266.5	0.545
267.0	0.541
267.5	0.538
268.0	0.535
268.5	0.532
269.0	0.528
269.5	0.525
270.0	0.521
270.5	0.517
271.0	0.515
271.5	0.513
272.0	0.508
272.5	0.506
273.0	0.502
273.5	0.497
274.0	0.493
274.5	0.489
275.0	0.485
275.5	0.478
276.0	0.472
276.5	0.468
277.0	0.461
277.5	0.456
278.0	0.451
278.5	0.444
279.0	0.437
279.5	0.434
280.0	0.427
280.5	0.422
281.0	0.415
281.5	0.408
282.0	0.401
282.5	0.394
283.0	0.387
283.5	0.379
284.0	0.372
284.5	0.364
285.0	0.356
285.5	0.349
286.0	0.340
286.5	0.332
287.0	0.320
287.5	0.311
288.0	0.300
288.5	0.292
289.0	0.284
289.5	0.274
290.0	0.266
290.5	0.259
291.0	0.248
291.5	0.238
292.0	0.229
292.5	0.220
293.0	0.211
293.5	0.204
294.0	0.196
294.5	0.188
295.0	0.179
295.5	0.173
296.0	0.167
296.5	0.161
297.0	0.155
297.5	0.148
298.0	0.143
298.5	0.138
299.0	0.133
299.5	0.129
300.0	0.124
300.5	0.118
301.0	0.113
301.5	0.109
302.0	0.105
302.5	0.101
303.0	0.097
303.5	0.093
304.0	0.089
304.5	0.087
305.0	0.085
305.5	0.082
306.0	0.080
306.5	0.079
307.0	0.076
307.5	0.074
308.0	0.074
308.5	0.073
309.0	0.072
309.5	0.071
310.0	0.071
310.5	0.068
311.0	0.067
311.5	0.065
312.0	0.063
312.5	0.060
313.0	0.059
313.5	0.055
314.0	0.053
314.5	0.052
315.0	0.050
315.5	0.049
316.0	0.048
316.5	0.046
317.0	0.043
317.5	0.040
318.0	0.041
318.5	0.040
319.0	0.039
319.5	0.037
320.0	0.036
320.5	0.035
321.0	0.034
321.5	0.033
322.0	0.031
322.5	0.030
323.0	0.027
323.5	0.027
324.0	0.022
324.5	0.022
325.0	0.019
325.5	0.017
326.0	0.016
326.5	0.016
327.0	0.016
327.5	0.017
328.0	0.015
328.5	0.014
329.0	0.015
329.5	0.015
330.0	0.013
330.5	0.012
331.0	0.008
331.5	0.012
332.0	0.011
332.5	0.011
333.0	0.013
333.5	0.012
334.0	0.011
334.5	0.011
335.0	0.011
335.5	0.010
336.0	0.009
336.5	0.008
337.0	0.007
337.5	0.005
338.0	0.003
338.5	0.003
339.0	0.002
339.5	0.001
340.0	0.000
340.5	-0.003
341.0	-0.004
341.5	-0.006
342.0	-0.007
342.5	-0.008
343.0	-0.009
343.5	-0.010
344.0	-0.011
344.5	-0.014
345.0	-0.013
345.5	-0.013
346.0	-0.013
346.5	-0.014
347.0	-0.015
347.5	-0.014
348.0	-0.014
348.5	-0.014
349.0	-0.013
349.5	-0.012
350.0	-0.012



5/28/2024 12:50 PM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.20667	
//WLCalib: 261S 	0.00000	
//WLCalib: 362S 	-0.20000	
//WLCalib: 484S 	0.08000	
//WLCalib: 529S 	0.39000	
//WLCalib: 823S 	-0.42000	
//QSpecEnd: 
220.0	0.248
220.5	0.237
221.0	0.230
221.5	0.221
222.0	0.209
222.5	0.199
223.0	0.189
223.5	0.181
224.0	0.175
224.5	0.169
225.0	0.164
225.5	0.162
226.0	0.158
226.5	0.155
227.0	0.154
227.5	0.151
228.0	0.149
228.5	0.146
229.0	0.144
229.5	0.143
230.0	0.142
230.5	0.140
231.0	0.139
231.5	0.138
232.0	0.136
232.5	0.133
233.0	0.131
233.5	0.129
234.0	0.128
234.5	0.125
235.0	0.124
235.5	0.122
236.0	0.121
236.5	0.122
237.0	0.123
237.5	0.124
238.0	0.127
238.5	0.130
239.0	0.133
239.5	0.137
240.0	0.141
240.5	0.144
241.0	0.146
241.5	0.148
242.0	0.150
242.5	0.153
243.0	0.159
243.5	0.163
244.0	0.168
244.5	0.173
245.0	0.177
245.5	0.180
246.0	0.183
246.5	0.187
247.0	0.189
247.5	0.191
248.0	0.192
248.5	0.195
249.0	0.197
249.5	0.199
250.0	0.201
250.5	0.201
251.0	0.203
251.5	0.203
252.0	0.202
252.5	0.201
253.0	0.201
253.5	0.200
254.0	0.201
254.5	0.201
255.0	0.201
255.5	0.203
256.0	0.206
256.5	0.208
257.0	0.212
257.5	0.215
258.0	0.214
258.5	0.215
259.0	0.215
259.5	0.215
260.0	0.216
260.5	0.217
261.0	0.217
261.5	0.217
262.0	0.217
262.5	0.218
263.0	0.217
263.5	0.214
264.0	0.211
264.5	0.206
265.0	0.202
265.5	0.200
266.0	0.198
266.5	0.195
267.0	0.194
267.5	0.193
268.0	0.191
268.5	0.191
269.0	0.187
269.5	0.184
270.0	0.181
270.5	0.178
271.0	0.177
271.5	0.176
272.0	0.173
272.5	0.172
273.0	0.168
273.5	0.165
274.0	0.164
274.5	0.163
275.0	0.160
275.5	0.157
276.0	0.153
276.5	0.151
277.0	0.149
277.5	0.149
278.0	0.147
278.5	0.143
279.0	0.139
279.5	0.139
280.0	0.136
280.5	0.135
281.0	0.132
281.5	0.128
282.0	0.123
282.5	0.121
283.0	0.116
283.5	0.113
284.0	0.108
284.5	0.104
285.0	0.100
285.5	0.097
286.0	0.093
286.5	0.089
287.0	0.082
287.5	0.077
288.0	0.073
288.5	0.070
289.0	0.066
289.5	0.064
290.0	0.060
290.5	0.059
291.0	0.054
291.5	0.051
292.0	0.049
292.5	0.045
293.0	0.042
293.5	0.041
294.0	0.039
294.5	0.035
295.0	0.033
295.5	0.030
296.0	0.028
296.5	0.026
297.0	0.023
297.5	0.021
298.0	0.019
298.5	0.019
299.0	0.017
299.5	0.016
300.0	0.016
300.5	0.013
301.0	0.010
301.5	0.008
302.0	0.007
302.5	0.006
303.0	0.005
303.5	0.005
304.0	0.005
304.5	0.004
305.0	0.004
305.5	0.003
306.0	0.002
306.5	0.003
307.0	0.001
307.5	0.000
308.0	-0.001
308.5	0.001
309.0	0.001
309.5	0.002
310.0	0.003
310.5	0.002
311.0	0.002
311.5	0.001
312.0	0.000
312.5	0.000
313.0	-0.001
313.5	-0.002
314.0	-0.002
314.5	-0.002
315.0	-0.003
315.5	-0.002
316.0	-0.001
316.5	-0.001
317.0	-0.003
317.5	-0.003
318.0	-0.002
318.5	-0.004
319.0	-0.003
319.5	-0.004
320.0	-0.002
320.5	-0.001
321.0	-0.001
321.5	-0.002
322.0	-0.003
322.5	-0.001
323.0	-0.003
323.5	-0.004
324.0	-0.007
324.5	-0.007
325.0	-0.008
325.5	-0.008
326.0	-0.007
326.5	-0.007
327.0	-0.006
327.5	-0.005
328.0	-0.006
328.5	-0.008
329.0	-0.006
329.5	-0.004
330.0	-0.005
330.5	-0.004
331.0	-0.003
331.5	0.000
332.0	0.001
332.5	0.001
333.0	0.000
333.5	0.000
334.0	-0.001
334.5	-0.001
335.0	0.000
335.5	0.000
336.0	0.001
336.5	0.001
337.0	0.000
337.5	0.000
338.0	-0.001
338.5	-0.001
339.0	-0.001
339.5	0.000
340.0	0.000
340.5	0.001
341.0	0.001
341.5	0.002
342.0	0.003
342.5	0.002
343.0	0.002
343.5	0.003
344.0	0.003
344.5	0.001
345.0	0.001
345.5	0.002
346.0	0.000
346.5	0.000
347.0	0.000
347.5	0.001
348.0	0.002
348.5	0.002
349.0	0.003
349.5	0.003
350.0	0.004



5/28/2024 12:51 PM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.20667	
//WLCalib: 261S 	0.00000	
//WLCalib: 362S 	-0.20000	
//WLCalib: 484S 	0.08000	
//WLCalib: 529S 	0.39000	
//WLCalib: 823S 	-0.42000	
//QSpecEnd: 
220.0	0.185
220.5	0.180
221.0	0.176
221.5	0.168
222.0	0.160
222.5	0.155
223.0	0.146
223.5	0.141
224.0	0.137
224.5	0.134
225.0	0.130
225.5	0.128
226.0	0.125
226.5	0.123
227.0	0.125
227.5	0.124
228.0	0.122
228.5	0.121
229.0	0.120
229.5	0.121
230.0	0.120
230.5	0.121
231.0	0.120
231.5	0.120
232.0	0.119
232.5	0.118
233.0	0.118
233.5	0.118
234.0	0.119
234.5	0.118
235.0	0.119
235.5	0.121
236.0	0.122
236.5	0.124
237.0	0.124
237.5	0.126
238.0	0.128
238.5	0.132
239.0	0.136
239.5	0.140
240.0	0.145
240.5	0.148
241.0	0.151
241.5	0.154
242.0	0.157
242.5	0.160
243.0	0.164
243.5	0.167
244.0	0.170
244.5	0.175
245.0	0.178
245.5	0.183
246.0	0.185
246.5	0.188
247.0	0.190
247.5	0.193
248.0	0.195
248.5	0.198
249.0	0.200
249.5	0.202
250.0	0.203
250.5	0.204
251.0	0.207
251.5	0.210
252.0	0.210
252.5	0.211
253.0	0.212
253.5	0.214
254.0	0.215
254.5	0.218
255.0	0.218
255.5	0.219
256.0	0.223
256.5	0.224
257.0	0.226
257.5	0.228
258.0	0.228
258.5	0.228
259.0	0.227
259.5	0.227
260.0	0.226
260.5	0.228
261.0	0.228
261.5	0.227
262.0	0.226
262.5	0.226
263.0	0.224
263.5	0.221
264.0	0.219
264.5	0.217
265.0	0.213
265.5	0.211
266.0	0.210
266.5	0.209
267.0	0.207
267.5	0.204
268.0	0.200
268.5	0.197
269.0	0.194
269.5	0.191
270.0	0.188
270.5	0.185
271.0	0.184
271.5	0.181
272.0	0.178
272.5	0.176
273.0	0.172
273.5	0.168
274.0	0.166
274.5	0.163
275.0	0.161
275.5	0.157
276.0	0.153
276.5	0.151
277.0	0.147
277.5	0.144
278.0	0.141
278.5	0.137
279.0	0.134
279.5	0.130
280.0	0.126
280.5	0.124
281.0	0.121
281.5	0.117
282.0	0.113
282.5	0.108
283.0	0.103
283.5	0.100
284.0	0.096
284.5	0.091
285.0	0.089
285.5	0.086
286.0	0.082
286.5	0.077
287.0	0.071
287.5	0.067
288.0	0.062
288.5	0.058
289.0	0.055
289.5	0.051
290.0	0.049
290.5	0.048
291.0	0.043
291.5	0.039
292.0	0.036
292.5	0.032
293.0	0.028
293.5	0.024
294.0	0.023
294.5	0.020
295.0	0.018
295.5	0.016
296.0	0.015
296.5	0.011
297.0	0.008
297.5	0.007
298.0	0.005
298.5	0.005
299.0	0.004
299.5	0.004
300.0	0.005
300.5	0.003
301.0	0.003
301.5	0.002
302.0	0.002
302.5	0.002
303.0	0.002
303.5	0.002
304.0	0.003
304.5	0.005
305.0	0.005
305.5	0.005
306.0	0.004
306.5	0.002
307.0	0.000
307.5	-0.001
308.0	-0.001
308.5	0.000
309.0	0.001
309.5	0.002
310.0	0.003
310.5	0.003
311.0	0.002
311.5	0.001
312.0	-0.001
312.5	-0.003
313.0	-0.003
313.5	-0.004
314.0	-0.003
314.5	-0.001
315.0	-0.002
315.5	-0.003
316.0	-0.004
316.5	-0.004
317.0	-0.006
317.5	-0.007
318.0	-0.005
318.5	-0.005
319.0	-0.004
319.5	-0.003
320.0	-0.002
320.5	-0.003
321.0	-0.002
321.5	-0.002
322.0	-0.004
322.5	-0.004
323.0	-0.005
323.5	-0.004
324.0	-0.007
324.5	-0.008
325.0	-0.010
325.5	-0.011
326.0	-0.013
326.5	-0.012
327.0	-0.010
327.5	-0.009
328.0	-0.008
328.5	-0.008
329.0	-0.008
329.5	-0.005
330.0	-0.004
330.5	-0.003
331.0	-0.002
331.5	0.001
332.0	0.003
332.5	0.004
333.0	0.006
333.5	0.006
334.0	0.006
334.5	0.006
335.0	0.007
335.5	0.007
336.0	0.008
336.5	0.008
337.0	0.007
337.5	0.005
338.0	0.003
338.5	0.003
339.0	0.002
339.5	0.001
340.0	0.000
340.5	-0.002
341.0	-0.003
341.5	-0.002
342.0	-0.003
342.5	-0.002
343.0	-0.003
343.5	-0.004
344.0	-0.004
344.5	-0.005
345.0	-0.005
345.5	-0.003
346.0	-0.004
346.5	-0.004
347.0	-0.003
347.5	-0.002
348.0	-0.002
348.5	-0.002
349.0	-0.002
349.5	0.000
350.0	0.001



5/28/2024 12:53 PM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.20667	
//WLCalib: 261S 	0.00000	
//WLCalib: 362S 	-0.20000	
//WLCalib: 484S 	0.08000	
//WLCalib: 529S 	0.39000	
//WLCalib: 823S 	-0.42000	
//QSpecEnd: 
220.0	0.035
220.5	0.033
221.0	0.033
221.5	0.031
222.0	0.027
222.5	0.028
223.0	0.026
223.5	0.024
224.0	0.023
224.5	0.023
225.0	0.025
225.5	0.027
226.0	0.029
226.5	0.028
227.0	0.029
227.5	0.029
228.0	0.029
228.5	0.028
229.0	0.027
229.5	0.027
230.0	0.026
230.5	0.026
231.0	0.026
231.5	0.026
232.0	0.025
232.5	0.023
233.0	0.020
233.5	0.017
234.0	0.016
234.5	0.015
235.0	0.013
235.5	0.011
236.0	0.009
236.5	0.009
237.0	0.006
237.5	0.006
238.0	0.005
238.5	0.004
239.0	0.005
239.5	0.006
240.0	0.006
240.5	0.005
241.0	0.004
241.5	0.004
242.0	0.003
242.5	0.002
243.0	0.006
243.5	0.007
244.0	0.007
244.5	0.009
245.0	0.009
245.5	0.010
246.0	0.010
246.5	0.011
247.0	0.009
247.5	0.009
248.0	0.009
248.5	0.009
249.0	0.010
249.5	0.010
250.0	0.010
250.5	0.008
251.0	0.007
251.5	0.006
252.0	0.004
252.5	0.002
253.0	0.001
253.5	0.000
254.0	-0.002
254.5	-0.002
255.0	-0.002
255.5	-0.002
256.0	0.000
256.5	0.000
257.0	0.003
257.5	0.005
258.0	0.005
258.5	0.005
259.0	0.006
259.5	0.006
260.0	0.006
260.5	0.006
261.0	0.006
261.5	0.006
262.0	0.006
262.5	0.006
263.0	0.006
263.5	0.004
264.0	0.004
264.5	0.001
265.0	-0.002
265.5	-0.004
266.0	-0.005
266.5	-0.004
267.0	-0.005
267.5	-0.005
268.0	-0.005
268.5	-0.004
269.0	-0.004
269.5	-0.004
270.0	-0.005
270.5	-0.005
271.0	-0.004
271.5	-0.004
272.0	-0.004
272.5	-0.002
273.0	-0.002
273.5	-0.002
274.0	-0.001
274.5	-0.001
275.0	-0.001
275.5	-0.001
276.0	-0.002
276.5	-0.001
277.0	0.000
277.5	0.002
278.0	0.004
278.5	0.004
279.0	0.003
279.5	0.006
280.0	0.005
280.5	0.007
281.0	0.007
281.5	0.007
282.0	0.008
282.5	0.007
283.0	0.007
283.5	0.007
284.0	0.007
284.5	0.007
285.0	0.007
285.5	0.008
286.0	0.008
286.5	0.008
287.0	0.006
287.5	0.005
288.0	0.004
288.5	0.004
289.0	0.003
289.5	0.003
290.0	0.005
290.5	0.006
291.0	0.006
291.5	0.005
292.0	0.006
292.5	0.005
293.0	0.005
293.5	0.004
294.0	0.005
294.5	0.004
295.0	0.003
295.5	0.004
296.0	0.003
296.5	0.002
297.0	0.001
297.5	0.000
298.0	-0.001
298.5	-0.001
299.0	-0.001
299.5	-0.002
300.0	-0.002
300.5	-0.003
301.0	-0.004
301.5	-0.005
302.0	-0.006
302.5	-0.007
303.0	-0.008
303.5	-0.008
304.0	-0.008
304.5	-0.008
305.0	-0.007
305.5	-0.006
306.0	-0.005
306.5	-0.005
307.0	-0.007
307.5	-0.008
308.0	-0.007
308.5	-0.006
309.0	-0.005
309.5	-0.004
310.0	-0.001
310.5	-0.001
311.0	-0.001
311.5	-0.001
312.0	-0.001
312.5	-0.002
313.0	-0.003
313.5	-0.006
314.0	-0.005
314.5	-0.003
315.0	-0.004
315.5	-0.004
316.0	-0.005
316.5	-0.006
317.0	-0.007
317.5	-0.008
318.0	-0.006
318.5	-0.006
319.0	-0.006
319.5	-0.006
320.0	-0.006
320.5	-0.007
321.0	-0.006
321.5	-0.006
322.0	-0.009
322.5	-0.007
323.0	-0.008
323.5	-0.007
324.0	-0.009
324.5	-0.009
325.0	-0.010
325.5	-0.010
326.0	-0.010
326.5	-0.009
327.0	-0.009
327.5	-0.007
328.0	-0.007
328.5	-0.007
329.0	-0.007
329.5	-0.005
330.0	-0.004
330.5	-0.005
331.0	-0.004
331.5	0.000
332.0	0.001
332.5	0.001
333.0	0.002
333.5	0.002
334.0	0.002
334.5	0.002
335.0	0.002
335.5	0.002
336.0	0.004
336.5	0.003
337.0	0.005
337.5	0.003
338.0	0.002
338.5	0.002
339.0	0.001
339.5	0.000
340.0	0.000
340.5	-0.001
341.0	-0.002
341.5	-0.002
342.0	-0.001
342.5	0.000
343.0	0.000
343.5	-0.002
344.0	0.000
344.5	-0.002
345.0	-0.001
345.5	0.000
346.0	0.000
346.5	-0.001
347.0	0.001
347.5	0.000
348.0	0.000
348.5	0.001
349.0	0.002
349.5	0.003
350.0	0.002



5/28/2024 12:55 PM
Wavelength (nm)	10mm Absorbance
//WLCalib: Shift 	0.20667	
//WLCalib: 261S 	0.00000	
//WLCalib: 362S 	-0.20000	
//WLCalib: 484S 	0.08000	
//WLCalib: 529S 	0.39000	
//WLCalib: 823S 	-0.42000	
//QSpecEnd: 
220.0	0.016
220.5	0.015
221.0	0.017
221.5	0.018
